id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-2.53634	2251.57013852369	2.58704212231874	0.272296965977722	9.50081141385322	2.0826111371671802e-21	6.01932945477118e-20
Cluster-11807.0	1315.53170203243	-4.03164470999529	0.424519396657252	-9.49696231018239	2.1610222122939002e-21	6.23568646257964e-20
Cluster-2.6206	218.2369909188	6.1106233776884	0.644084125418305	9.48730629515175	2.37081408478676e-21	6.81861677106541e-20
Cluster-2.58153	1735.44840213602	-2.54239768296945	0.268131996214455	-9.48188846860339	2.49722089733376e-21	7.17041627214786e-20
Cluster-2367.0	183.41541007725	-4.92654657929938	0.520362652475677	-9.46752530347989	2.8655180874760502e-21	8.201084718871091e-20
Cluster-2.9633	238.318367121313	-5.70246335542729	0.602450775411849	-9.4654428015782	2.92319872021177e-21	8.352540447458531e-20
Cluster-2.41832	107.768843921936	-2.62641809550298	0.277567326230971	-9.46227400453277	3.01317776005387e-21	8.595640751607321e-20
Cluster-2.12269	145.910605541197	-5.69599145633674	0.602247225317424	-9.45789572269856	3.14202401087611e-21	8.94864760500171e-20
Cluster-2.41756	132.833752298058	2.70251993079416	0.285950280225065	9.4510134022847	3.35565931201397e-21	9.541602426251721e-20
Cluster-3794.0	260.738268056776	-2.57637463507066	0.272644033182931	-9.44959112067582	3.4015682109895e-21	9.656490727119721e-20
Cluster-2.39283	433.772219201287	-3.08207361756818	0.326667237260286	-9.43490275736591	3.91357090396222e-21	1.1074143215986e-19
Cluster-2.10765	165.588996739318	-3.9913500761079	0.4238411442142	-9.4170897058799	4.6376391937425704e-21	1.30808266905176e-19
Cluster-2.7468	216.867622146809	-5.631687919871	0.598153294621254	-9.41512480247549	4.72520712745209e-21	1.33064259781733e-19
Cluster-2.57765	195.372860404021	3.928384038711	0.418055950007096	9.39679016324089	5.62529690194749e-21	1.57652090811129e-19
Cluster-2.13133	359.318213593041	-4.56010263528058	0.485519010294436	-9.392222628966	5.8747247652582e-21	1.64379858503492e-19
Cluster-2.37446	666.681927846689	2.55880828746656	0.273296747767558	9.36274693485506	7.76900884067354e-21	2.15663751741735e-19
Cluster-2.27740	16388.7440057657	-12.5601631153381	1.34404228715798	-9.345065430863	9.183267481175301e-21	2.5331956712223203e-19
Cluster-2.58296	169.783710529745	-5.88244135420877	0.629807748200061	-9.34005872588947	9.628070101070871e-21	2.65172467587421e-19
Cluster-2.5	390.910418271588	2.63549166780653	0.28241094502665	9.33211589075569	1.03778121788083e-20	2.8492697474963e-19
Cluster-6288.0	988.486539218164	-3.9975756376935	0.428619424789443	-9.326631987473	1.09288544282807e-20	2.9958722201524402e-19
Cluster-2.45204	217.677441540735	-3.6795997867983	0.394998984323432	-9.31546645139063	1.2141784549306901e-20	3.30256539741149e-19
Cluster-2.39786	11163.773373367	-11.1799102678834	1.2004396085875	-9.31318009494728	1.24061056720257e-20	3.3692371193501503e-19
Cluster-2.1026	133.214980626701	-3.39861971879585	0.365595723973164	-9.2961145219667	1.45671917936678e-20	3.93785535944696e-19
Cluster-2.57913	726.563643209956	-5.3704533326113	0.577900168874667	-9.29304683033589	1.49933622832648e-20	4.0468238138091996e-19
Cluster-2.57956	1134.2145398498	-2.63408976864373	0.283527628137097	-9.29041654935315	1.53685670717822e-20	4.1353702562476503e-19
Cluster-2.18419	271.926487104469	-7.06788879997413	0.762159622555567	-9.27350202084319	1.8013231173623102e-20	4.8321732065755995e-19
Cluster-2.61076	389.932705738557	-2.55512360115437	0.276268284327333	-9.24870405365448	2.2723091372033702e-20	6.08631931344976e-19
Cluster-2.20537	691.15927415343	-2.93656150711325	0.317849060034129	-9.23885540765147	2.4914805007520602e-20	6.663191144084461e-19
Cluster-2.39100	14951.8157504686	-12.5189458528427	1.35555727778548	-9.23527619083305	2.57620520596146e-20	6.87929134450347e-19
Cluster-2.28254	222.693466743764	4.68586986546592	0.507661516345053	9.23030348883285	2.6986617893380302e-20	7.195337755645341e-19
Cluster-2.34980	1064.08523554032	2.74622833619492	0.29764913179382	9.22639457956562	2.79894612574271e-20	7.4401077015197e-19
Cluster-410.0	218.37106391375	-2.62455756902304	0.284471442026831	-9.22608452477102	2.80705660099216e-20	7.4503783672929505e-19
Cluster-2.51296	213.614399448229	-4.39211425579705	0.476186052905491	-9.22352561356676	2.87488636032053e-20	7.618883127713491e-19
Cluster-2.31639	4744.30555359769	2.72684834231404	0.295814398126529	9.21810554044663	3.02395437965941e-20	7.98979753565432e-19
Cluster-2.815	3793.81585208523	-10.22243270502	1.10897545963262	-9.21790704765142	3.02955618064655e-20	7.99256144861099e-19
Cluster-2.53253	308.391972301998	-6.27997540759485	0.68163460077831	-9.21311124820277	3.16806401996871e-20	8.345422697647291e-19
Cluster-2.3306	252.018308778883	3.44216363934825	0.373902685666246	9.20604149503436	3.38373675593984e-20	8.88686791110906e-19
Cluster-2.62411	164.768229870661	-3.96017118772915	0.430518659069312	-9.19860522721636	3.62625932536551e-20	9.509580508850891e-19
Cluster-2.4225	254.117687452976	2.55909785711415	0.278330059031565	9.19447172187725	3.76841686061796e-20	9.867627672042e-19
Cluster-2.35173	3950.45113803305	3.40012852408856	0.37017963404269	9.18507722036498	4.1123215411764504e-20	1.07201439997622e-18
Cluster-2.32201	425.990132680789	4.36008371902567	0.474857523801368	9.18187772223125	4.2363871816240804e-20	1.10108409947278e-18
Cluster-2.13643	714.94423810172	-3.36148810511572	0.36643636292277	-9.17345669055278	4.58088959239458e-20	1.1888628255764899e-18
Cluster-2.47108	162.771451279541	5.15933596267241	0.564107180785011	9.14602071807114	5.90693657041643e-20	1.53074291272357e-18
Cluster-2.10152	511.462627949228	-2.93834869552487	0.321498473252421	-9.13954167744322	6.27175631945298e-20	1.62288632549385e-18
Cluster-2.38481	205.967260388406	4.09280641771253	0.448362324560176	9.12834596824653	6.95537937953712e-20	1.7918528022701798e-18
Cluster-2.46588	82.7378974999276	-6.37241733216071	0.698614015896499	-9.12151372168404	7.4082251984371e-20	1.90571705104664e-18
